itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,860,0.02890697,2856,0.095998032,2271,0.076334569,0.301120448,0.378687803,3.944745494
Unsweetened Blackberry Water,Raspberry Essence Water,660,0.022184419,3108,0.104468446,2025,0.068065831,0.212355212,0.325925926,3.119850422
Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",606,0.02036933,2782,0.093510688,2167,0.072838843,0.2178289,0.279649285,2.9905596
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,642,0.021579389,2271,0.076334569,2856,0.095998032,0.282694848,0.224789916,2.94479838
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,640,0.021512164,2856,0.095998032,2567,0.086283945,0.224089636,0.24931827,2.597118567
Unsweetened Watermelon Water,Unsweet Peach Water,599,0.020134041,4107,0.13804759,1777,0.059729868,0.145848551,0.337084975,2.441802683
Organic Greek Whole Milk Blended Strawberry Yogurt,Organic Blended Raspberry Whole Milk Greek Yogurt,780,0.02621795,4198,0.14110635,2598,0.087325941,0.185802763,0.300230947,2.127692666
Organic Greek Whole Milk Blended Strawberry Yogurt,Greek Whole Milk Blended Blueberry Yogurt,769,0.025848209,4198,0.14110635,2647,0.088972966,0.183182468,0.290517567,2.058855368
Chocolate Sea Salt,Coconut  Chocolate Bar,859,0.028873358,4326,0.145408783,3041,0.102216392,0.198566805,0.282472871,1.942612162
Coconut Chia Bar,Acai Berry Chia Bar,870,0.029243098,4646,0.156164865,2879,0.096771125,0.187257856,0.30218826,1.935059205
